LowTemp;HighTemp;SnowThickness
-6,2;1,6;0
0,4;3,7;0
0,5;6,1;0
-2,3;1,6;0
-9,8;-1,5;4
-11,4;-2,1;2
-4,2;-2;2
-6,4;-1,8;0
-3;1,1;4
-2,5;0,1;4
-1,7;5,1;4
0,9;4,3;0
1,4;4;0
1,4;4,2;0
1,1;3,7;0
-3;2;0
-2;-0,4;0
-3,3;0,5;0
-9,1;0,7;0
-8,6;2,7;0
1;3,7;0
1,4;5;0
-3,2;3,5;0
-6,2;3,3;0
0,1;4,2;0
-2,5;2;0
0,7;4,5;0
4,4;5,9;0
1,5;4,6;0
-0,6;3,6;0
3,6;6,6;0
4,5;7,3;0
4;5,4;0
-0,2;5,4;0
0,9;3,9;0
0,3;1,5;0
-6,9;0,6;0
-9,9;-6;0
-14,8;-9;0
-12,8;-10,5;2
-11,9;-8,7;2
-21,6;-9;6
-24,1;-19,7;6
-23,4;-17,1;5
-21,4;-10;5
-21,8;-12,3;7
-21,9;-7,5;6
-7,5;-5,3;10
-7,4;-5,9;13
-10,1;-6,7;13
-8,8;-5,3;12
-8,8;-1,7;15
-7,3;-1,1;17
-7,1;-4,2;16
-9,5;-4,9;16
-10,8;-9,4;14
-10;-7,7;13
-13,6;-8,4;15
-19,8;-12,9;15
-19,6;-16,8;15
-25,5;-17,8;15
-27;-17,9;15
-26,6;-21,1;15
-22,6;-14,5;15
-19,6;-13,8;18
-19,2;-13,4;17
-13,4;-4,7;18
-8,2;-3;19
-19,4;-7,7;18
-9,4;0,5;21
-1,3;0,7;28
0,1;1;27
0;1,8;24
-2,9;0;21
-4,3;-2,2;22
-15,3;-4,2;23
-21,2;-11,2;23
-13,8;-4,7;25
-6;-4,1;26
-10,1;-1,7;26
-8,5;-3,6;29
-19,8;-5,5;29
-17,2;-7,1;29
-9,2;-5,1;28
-7,8;-5,1;28
-8,6;-6,8;28
-25,3;-7,8;27
-27,6;-21,2;27
-21,4;-8,2;27
-10;-0,8;28
-13,4;-7,6;32
-20,4;-5,7;31
-7;-4,2;31
-17;-6;29
-14,6;-6,6;30
-15,8;-7,3;30
-7,3;-4;31
-4;-2,5;33
-6;-3,2;33
-3,3;1,3;32
-2,3;1;31
-1,7;1,4;37
-4,3;0,5;35
-4,7;-3;35
-7,3;-3,9;40
-5,7;-3,5;40
-6,5;-3,4;39
-17,8;-6,2;39
-19,2;-11,1;39
-21,2;-13,4;39
-21,5;-5,9;39
-5,9;-4,1;41
-7,7;-5;44
-11,5;-5,2;44
-5,2;-0,4;44
-1,9;-0,4;44
-2,2;-1,1;45
-2,2;-0,8;44
-4,6;-0,7;44
-7,4;-2,1;45
-7,9;-3,4;45
-20,5;-4,5;45
-21,1;-2,3;45
-7,5;-1;45
-6,6;0;45
-1,3;1,3;45
-3,5;2,9;44
-1,9;5,2;43
-5,6;6,5;45
0,1;4,5;41
-12,2;0,7;41
-23,2;-7,7;40
-12,9;-6,7;40
-16,3;-6,4;40
-12,9;-3,1;40
-8,8;0,1;41
-11,4;-6,4;40
-17,5;-6,8;40
-23,1;-7,5;40
-24,6;-7,8;40
-18,4;-5,3;42
-24,9;-7,9;43
-15,3;-8,4;43
-26,8;-8,9;40
-27;-2,8;40
-26,1;-3,1;40
-17,5;-4,9;40
-21,9;-4,8;40
-11,7;-4,3;40
-9,7;-2,4;40
-14,3;-5,4;40
-21,5;-1,9;40
-8,1;-1;40
-13,3;1,7;40
-9,1;1,8;40
-19,1;1,1;39
-13,1;2;40
-11,7;1,1;40
-19,3;2,3;39
-11,6;1,5;39
-16,8;3,3;39
-8,9;3,4;39
-14,7;2,3;39
-12,5;3;39
-3,5;3,8;39
-13,3;1,5;39
-16,2;1,4;39
-11,9;2;39
-13,7;1,6;39
-18,1;3,1;39
-12,1;5,1;38
-13,6;5,3;38
-5,1;3,7;39
1;4,2;36
0;7,9;33
3,2;6,7;25
3,6;7,1;15
3,3;6,4;9
2,5;8,4;2
4,4;7,1;0
0,3;7,1;0
-5,2;11,7;0
-2,8;12,7;0
4,1;8,1;0
3,3;11,5;0
0,5;9,8;0
-3,2;9,4;0
0,1;7,6;0
-1,1;9,3;0
-2;12,1;0
2,4;7,6;0
1,1;7,1;0
-4,7;8;0
0,5;8,7;0
0,2;9,5;0
1;8,3;0
-4,2;16;0
5;16,9;0
0,3;12,4;0
-1;10,5;0
6,7;8,6;0
4,3;15,4;0
2,8;15,9;0
2;17,6;0
7,7;17;0
2,2;16,6;0
-2,2;20,5;0
2,9;25,2;0
7,5;25,1;0
8;25,6;0
11,3;23,5;0
10,8;21,1;0
4,9;21,1;0
7,9;19,5;0
3,5;20,7;0
0,8;22,7;0
3,5;23,2;0
14;24,2;0
12,4;24,9;0
4;26,1;0
5,2;28;0
5,5;25,8;0
13,3;25,8;0
13,1;27,7;0
13,7;28,2;0
10,5;22,9;0
9,6;26,7;0
13,3;23,9;0
11;21,2;0
12,3;20,9;0
5,7;20,1;0
3,6;20,7;0
8,3;17;0
2;13,7;0
-2,1;19,5;0
11,8;16,8;0
11,8;17;0
7,9;20,3;0
9;17,7;0
7,8;15,4;0
2,3;18,9;0
3,9;17,5;0
11,2;20,7;0
11,2;22,6;0
15,5;22,7;0
8,8;25,9;0
11,8;24,8;0
13,2;27,4;0
16;27,8;0
15,8;21,6;0
10;25,2;0
14,3;21,7;0
14,7;19,1;0
11,5;18,5;0
10,8;19,5;0
6,3;21,5;0
11,7;23,7;0
14,2;21,1;0
6,8;23,9;0
12,7;20,4;0
5,7;17,8;0
12,4;19,8;0
3,2;16,3;0
2,3;20;0
5,3;22,3;0
12,2;19;0
5,2;17;0
8,3;13,2;0
5,5;15,1;0
2,7;17,2;0
10,7;17,1;0
8,7;17,7;0
8,5;17,9;0
10,8;15,3;0
11,2;22,5;0
12,9;23,4;0
11,4;25;0
4,5;26,2;0
8,3;25,5;0
10,5;26,7;0
10,2;26,4;0
14,7;19,3;0
16,8;22,2;0
13,2;20,1;0
14,4;22,2;0
13,3;23,7;0
8,5;27,1;0
15;25,8;0
7,9;25,1;0
8,3;24,5;0
16,7;20,7;0
12,2;17,6;0
11;21,2;0
6,3;16;0
12;18,7;0
8,6;20,9;0
2,3;18,2;0
12,1;18,3;0
12,7;19,2;0
5,4;18,1;0
13,9;22,2;0
15,2;21,8;0
7,5;23,7;0
4,5;21,9;0
6,6;16,4;0
1,4;15,9;0
0,3;20,1;0
3,3;23,2;0
3,3;22,2;0
9,4;23,9;0
9,2;20,3;0
2,2;16,8;0
1,4;17,7;0
-1,9;19,6;0
2,9;19,4;0
10,5;14,6;0
